Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
ACAD-1135,Acadia National Park,Bird,Charadriiformes,Laridae,Rissa tridactyla,"Atlantic Kittiwake, Black-Legged Kittiwake",Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
ACAD-1136,Acadia National Park,Bird,Charadriiformes,Laridae,Rynchops niger,"Black Skimmer, Northern Black Skimmer",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern
ACAD-1137,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna antillarum,"Eastern Least Tern, Least Tern",Approved,Not Present (Historical Report),Not Native,Unknown,Vagrant,Not Listed
ACAD-1138,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna caspia,Caspian Tern,Approved,Not Confirmed,Not Native,Unknown,Migratory,Not Listed
ACAD-1139,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna dougallii,"Northern Roseate Tern, Roseate Tern",Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
ACAD-1140,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna fuscata,"Eastern Sooty Tern, Sooty Tern",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Not Listed
ACAD-1141,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna hirundo,"Common Tern, Northern Common Tern",Approved,Present,Native,Common,Resident,Species of Concern
ACAD-1142,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna maxima,Royal Tern,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Not Listed
ACAD-1143,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna paradisaea,Arctic Tern,Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
ACAD-1144,Acadia National Park,Bird,Charadriiformes,Laridae,Xema sabini,"Northern Sabine's Gull, Sabine's Gull",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Not Listed
ACAD-1145,Acadia National Park,Bird,Charadriiformes,Recurvirostridae,Recurvirostra americana,"American Avocet, Avocet",Approved,Present,Not Native,Unknown,Vagrant,Not Listed
ACAD-1146,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Actitis macularia,Spotted Sandpiper,Approved,Present,Native,Common,Unknown,Not Listed
ACAD-1147,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Arenaria interpres,Ruddy Turnstone,Approved,Present,Native,Common,Migratory,Not Listed
ACAD-1148,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Bartramia longicauda,"Bartramian Sandpiper, Upland Plover, Upland Sandpiper",Approved,Present,Native,Rare,Migratory,Species of Concern
ACAD-1149,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris alba,Sanderling,Approved,Not Confirmed,Native,Unknown,Migratory,Not Listed
